,Rewards Steps
0,-75.0
1,107.0
2,-67.29
3,0.0
4,-114.0
5,83.0
6,-129.0
7,207.0
8,65.44000000000001
9,60.02
10,19.8
11,2.0
12,-252.0
13,114.0
14,1.9099999999999948
15,-64.0
16,54.0
17,0.0
18,165.0
19,119.30999999999999
20,3.1999999999999997
21,107.0
22,16.439999999999994
23,-122.0
24,-3.0
25,-19.0
26,110.0
27,-32.400000000000006
28,0.0
29,-31.0
30,-123.0
31,-180.0
32,-133.0
33,-43.0
34,10.0
35,-26.0
36,-229.0
37,7.0
38,-348.0
39,26.0
40,-30.0
41,-97.0
42,72.1
43,36.989999999999995
44,-147.0
45,-50.0
46,-222.0
47,33.0
48,-150.0
49,-179.0
50,-132.0
51,-315.0
52,-84.0
53,11.0
54,-33.0
55,-96.0
56,-9.0
57,29.0
58,-9.0
59,8.0
60,-141.0
61,67.0
62,142.0
63,-113.66000000000001
64,94.07999999999998
65,99.96999999999998
66,-13.25
67,103.77999999999999
68,-27.540000000000003
69,64.74000000000001
70,-199.75
71,2.0
72,-69.0
73,-151.0
74,10.0
75,-180.0
76,-189.0
77,-6.0
78,221.0
79,17.04
80,-194.16
81,-231.0
82,-206.0
83,-129.0
84,91.0
85,-105.64
86,100.24
87,-183.18
88,231.34
89,45.63
90,-5.0
91,176.0
92,110.0
93,52.88
94,-77.5
95,21.34999999999998
96,47.99
97,-173.01999999999998
98,-189.0
99,-120.0
100,-162.0
101,15.0
102,-338.0
103,150.0
104,-16.900000000000006
105,94.07
106,-66.42000000000002
107,24.700000000000003
108,-404.0
109,-92.0
110,-21.0
111,-86.0
112,-399.0
113,-80.0
114,-360.0
115,-7.0
116,-171.0
117,-13.0
118,-176.0
119,142.0
120,52.2
121,243.6
122,57.52
123,125.6
124,147.69
125,-43.0
126,-8.0
127,35.0
128,-189.0
129,-243.0
130,-26.0
131,48.87
132,73.0
133,-135.92000000000002
134,-340.0
135,25.0
136,-267.0
137,-60.0
138,68.0
139,-251.68999999999997
140,3.0
141,-195.0
142,-3.0
143,-374.0
144,108.0
145,-55.43999999999999
146,-415.0
147,-330.0
148,-415.0
149,-24.0
150,-380.0
151,-116.0
152,-69.0
153,28.0
154,-220.0
155,-195.0
156,12.0
157,-82.99999999999999
158,-231.0
159,-234.0
160,-154.0
161,-300.0
162,-284.0
163,-225.0
164,56.0
165,-336.0
166,-81.0
167,-201.0
168,-93.0
169,-3.0
170,-139.0
171,194.0
172,-137.5
173,48.1
174,-4.0
175,-3.0
176,8.0
177,0.0
178,-234.0
179,-13.0
180,-284.81
181,59.0
182,15.199999999999996
183,-201.0
184,-318.0
185,-46.0
186,151.0
187,-64.67999999999999
188,140.0
189,-149.16000000000003
190,173.41
191,104.98
192,-15.000000000000007
193,131.0
194,152.65
195,-63.0
196,-191.0
197,-156.0
198,-83.0
199,-199.0
200,62.0
201,-222.0
202,110.0
203,45.93
204,-138.0
205,-352.0
206,-3.0
207,-36.0
208,88.0
209,-211.0
210,-49.0
211,-309.0
212,-255.0
213,-3.0
214,-142.0
215,1.0
216,113.0
217,-149.83
218,-392.0
219,12.0
220,2.0000000000000053
221,-324.0
222,-193.0
223,-210.0
224,-182.0
225,-110.0
226,-212.51999999999998
227,54.0
228,-147.0
229,-26.0
230,0.0
231,-399.0
232,-134.0
233,-15.0
234,-159.0
235,-309.0
236,-366.0
237,-19.0
238,182.0
239,79.77000000000001
240,-48.89999999999999
241,-107.67999999999999
242,-175.0
243,-60.0
244,102.0
245,21.0
246,139.0
247,-50.48000000000001
248,40.0
249,-113.0
250,-42.0
251,-306.0
252,-146.0
253,229.0
254,14.129999999999995
255,57.65
256,-25.0
257,124.0
258,-224.39999999999998
259,8.0
260,-249.0
261,-87.0
262,-80.0
263,-143.37
264,60.0
265,6.029999999999993
266,-12.0
267,10.0
268,0.0
269,-14.0
270,-387.0
271,41.0
272,-273.0
273,-103.0
274,-168.0
275,-288.0
276,74.0
277,-52.0
278,-34.0
279,3.0
280,-79.0
281,-7.049999999999994
282,-77.0
283,-17.0
284,-148.0
285,-416.0
286,-141.0
287,-99.0
288,150.0
289,-167.45
290,-215.22
291,-9.0
292,-225.04999999999998
293,104.0
294,-146.35999999999999
295,-247.0
296,-9.0
297,14.0
298,-66.0
299,95.0
300,-71.15
301,-74.34
302,-172.0
303,-51.0
304,13.0
305,28.0
306,-39.0
307,-135.0
308,-36.0
309,78.0
310,-139.0
311,-156.0
312,-42.0
313,-358.0
314,-312.0
315,-180.0
316,-67.0
317,-9.499999999999993
318,-210.0
319,1.0
320,59.0
321,-88.0
322,-243.0
323,70.0
324,-3.0
325,19.0
326,73.4
327,89.16
328,-11.200000000000003
329,-150.6
330,-37.0
331,-150.0
332,-202.0
333,92.0
334,-163.20999999999998
335,-363.2
336,-179.0
337,-34.0
338,-165.0
339,-410.0
340,-76.0
341,-374.0
342,-52.0
343,8.0
344,-279.0
345,-67.0
346,85.0
347,-291.44
348,-15.0
349,-168.0
350,0.0
351,77.0
352,-99.0
353,-6.0
354,-4.0
355,20.0
356,-27.0
357,-42.0
358,-192.0
359,-69.0
360,-267.0
361,-270.0
362,-321.0
363,-105.0
364,-142.0
365,55.0
366,21.0
367,-159.0
368,-24.0
369,-24.0
370,98.0
371,-50.75
372,-282.5
373,-96.0
374,-219.0
375,-262.0
376,203.0
377,80.92
378,-53.14
379,115.72
380,-140.0
381,-79.0
382,126.0
383,-48.85
384,-187.0
385,166.0
386,48.120000000000005
387,-97.35000000000001
388,-129.0
389,-84.0
390,50.0
391,184.0
392,88.74
393,-40.329999999999984
394,-226.35999999999999
395,-3.0
396,85.0
397,270.0
398,15.599999999999998
399,-294.0
400,47.0
401,-15.0
402,-20.0
403,-63.0
404,-222.0
405,-42.0
406,-24.0
407,232.0
408,56.84
409,119.15
410,18.750000000000007
411,-48.0
412,115.0
413,-353.28
414,252.0
415,-54.52
416,54.0
417,-112.0
418,-100.0
419,-118.0
420,-83.0
421,-219.0
422,273.0
423,-24.520000000000003
424,-62.760000000000005
425,-157.44
426,-147.68
427,-131.0
428,213.0
429,-48.06000000000001
430,-112.83999999999997
431,-148.0
432,-7.0
433,-72.0
434,-69.0
435,-230.0
436,-41.0
437,176.0
438,-43.9
439,-273.0
440,-87.0
441,-20.0
442,5.0
443,-33.0
444,-33.0
445,-153.0
446,-76.0
447,10.0
448,-23.0
449,8.0
450,71.0
451,-68.24999999999999
452,-27.0
453,40.0
454,-194.0
455,93.0
456,-4.190000000000005
457,156.0
458,16.750000000000007
459,-133.0
460,-6.0
461,2.0
462,-19.0
463,-186.0
464,-370.0
465,-60.0
466,-43.0
467,40.0
468,-262.0
469,-120.0
470,-10.0
471,-219.32
472,68.0
473,120.7
474,-17.460000000000008
475,36.16000000000001
476,142.72
477,75.4
478,117.61999999999999
479,-271.0
480,-217.0
481,87.0
482,-12.039999999999996
483,-223.0
484,-246.0
485,-127.0
486,-178.0
487,140.0
