,Rewards Episodi,actor_losses,critic_losses
0,156.97,0.0,0.0
1,143.41999999999996,0.0,0.0
2,-2299.5,0.0,0.0
3,-925.73,0.0,0.0
4,-1496.2400000000002,0.0,0.0
5,-6161.58,0.0,0.0
6,-393.40999999999985,0.0,0.0
7,-5299.23,0.0,0.0
8,-156.70000000000002,0.0,0.0
9,-3847.36,0.0,0.0
10,-4642.589999999999,0.0,0.0
11,-2031.7499999999998,0.0,0.0
12,-1.4299999999999748,0.0,0.0
13,-2189.26,0.0,0.0
14,-751.8699999999999,0.0,0.0
15,-1188.23,0.0,0.0
16,-231.40000000000003,0.0,0.0
17,-209.25999999999996,0.0,0.0
18,-3396.2300000000005,0.0,0.0
19,-3533.87,0.0,0.0
20,-2426.79,0.0,0.0
21,-2728.45,0.0,0.0
22,-2508.92,0.0,0.0
23,-1146.31,0.0,0.0
24,-3954.43,0.0,0.0
25,-587.33,0.0,0.0
26,-3572.6299999999997,0.0,0.0
27,-5135.06,0.0,0.0
28,-5399.1,0.0,0.0
29,-5873.7699999999995,0.0,0.0
30,-1916.13,0.0,0.0
31,-3206.5699999999997,0.0,0.0
32,-1514.76,"tf.Tensor(3.1332157, shape=(), dtype=float32)","tf.Tensor(14500.916, shape=(), dtype=float32)"
33,200.51999999999998,"tf.Tensor(0.37269133, shape=(), dtype=float32)","tf.Tensor(1089.9012, shape=(), dtype=float32)"
34,-2936.0499999999997,"tf.Tensor(5.86465, shape=(), dtype=float32)","tf.Tensor(13941.937, shape=(), dtype=float32)"
35,88.75999999999999,"tf.Tensor(0.78598905, shape=(), dtype=float32)","tf.Tensor(1412.7089, shape=(), dtype=float32)"
36,380.99999999999994,"tf.Tensor(2.1925871, shape=(), dtype=float32)","tf.Tensor(3945.8315, shape=(), dtype=float32)"
37,301.56,"tf.Tensor(0.56332946, shape=(), dtype=float32)","tf.Tensor(918.3708, shape=(), dtype=float32)"
38,300.44,"tf.Tensor(0.57873845, shape=(), dtype=float32)","tf.Tensor(1235.532, shape=(), dtype=float32)"
